,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Max number of APs,Membrane time constant (ms),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag ratio,Spike frequency adaptation,Upstroke-to-downstroke ratio
20190506_sample_5,0.1558191107213397,76.6012314707039,0.7943984060488025,0.9907967144414083,0.04789972689944579,-36.19176211456457,1.1000000000000036,0,-2.5418481479088584,0.5267399267399266,0.002440804759228029,3.2569659442724417,1.2399209667640532,0.24847620394418055,,9.966666666666665,13,,0,-55.392196286055785,60.0,,0.8571428571428571,1.630336465730267
20190506_sample_7,0.0761831981567084,56.28413148224351,0.8823428586563385,0.9927893529438263,0.03990854682126423,-41.44936303297678,0.899999999999998,0,-1.7884398500124732,0.0,0.0018984961918925626,0.9847094801223258,1.0411292757139665,0.30397858199475547,,5.76666666666667,25,,0,-52.29240014279882,40.0,,0.6666666666666666,1.1999123116003547
20190131_sample_1,4.130260788993635,81.6884947319825,0.7766974062870493,0.8994997494978518,0.2877736069251935,-29.047563051184,0.9666666666666712,0,-9.435059502720854,0.0,0.12219873641435033,1.2128378378378397,2.4178885888455848,1.679519135995725,,9.333333333333332,9,,0,-55.487730189123084,180.0,,0.125,2.049605641817995
20190131_sample_3,0.028080171152074694,65.99668320268384,0.9276483430701191,0.9970822684749354,0.021704094642365584,-38.73458628853158,0.5000000000000004,0,-13.439092164238332,0.0,6.277216328041346e-05,1.141868512110727,1.0111596372509595,0.07150787931518723,,7.933333333333334,40,,0,-74.28874402369063,380.0,,0.9047619047619048,1.125031803491711
20190131_sample_5,0.018703682732326747,74.61947947740543,0.9722044784605502,0.998029867297236,0.016355697446806313,-28.513712808489693,0.633333333333333,0,-14.94834013283264,0.0,7.618913160187462e-05,1.1281138790035594,1.0134213749052583,0.07624149948417973,,4.0000000000000036,38,,0,-42.415235118112626,120.0,,0.9,1.089715271408707
20190131_sample_6,0.2646279539584637,75.56966940561928,0.850260421459343,0.986413079964914,0.06610393108905756,-32.2516287366549,0.8666666666666684,0,-10.411430150270476,0.0,0.001727648504650889,1.3859060402684558,1.0748927455170538,0.26238340966394363,,8.566666666666666,20,,0,-71.33245220821765,280.0,,0.6666666666666666,1.7674244778425547
20190117_sample_1,0.9404933448281639,84.57052086790395,0.8394494125035632,0.9615639305113405,0.11934404381307565,-31.641386449336977,0.7333333333333358,0,-10.512496034304327,0.0,0.03225392003703063,1.1499999999999986,1.7826673535930373,0.7667203042676364,,3.333333333333327,8,,0,-45.2165730336888,100.0,,0.3333333333333333,1.572153441698998
20190730_sample_7,1.2035217735674335,89.49561913808182,0.5698552207788633,0.9797988813956802,0.14402399602129307,-36.53900325298309,1.266666666666666,0,1.3185162097215581,0.4844995571302038,0.0016118207936948832,2.030927835051546,1.104295321806655,0.23178358221034817,,11.23333333333333,17,,0,-59.12986961938441,80.0,,0.7,2.918996911598128
20190730_sample_9,1.914471911132207,125.46482185522697,0.4490313880117135,0.9887649424638953,0.15669807173242992,-65.47142813603082,1.5999999999999903,0,42.759096249938,0.0,0.0014642257621170403,2.076086956521741,1.0899779857573224,0.23266724832248195,,-0.2333333333333354,19,,2,-65.81579108432764,540.0,,1.25,2.638692918772885
20190925_sample_2,0.020959185642563535,79.74945567548276,0.9285545637184637,0.9972030374936165,0.016922200048813986,-28.728814795613303,0.7000000000000062,0,-15.98346792161464,0.0,6.288501753614047e-05,1.1295681063122904,1.012342751081634,0.06809435807485867,,8.233333333333329,37,,0,-62.233251743846466,200.0,,0.9473684210526315,1.3775473536409282
20190925_sample_3,0.7846748501662945,78.2361378272374,0.8450324213233256,0.977938697214543,0.11899290386144172,-20.834632217884064,0.800000000000009,0,-7.934035112460457,0.0,0.0025013107481347,1.17785234899329,1.0850456811766063,0.32104289575083,,8.499999999999993,20,,0,-55.77822741866112,300.0,,0.5384615384615384,1.869288187271693
20190925_sample_5,0.3455337586604054,73.1291280438503,0.8434500209517136,0.9849850813209718,0.07853736279668595,-26.209631934762,0.7666666666666655,0,-12.62241850296656,0.0,0.0011958664606663443,1.4391891891891901,1.0683776991871594,0.22064761777364555,,3.4000000000000004,20,,0,-46.20153379999101,240.0,,0.6666666666666666,1.5306021768191707
20190925_sample_6,0.03816242264686736,71.05017018814881,0.9306092983005638,0.9967628619074466,0.02438442278285319,-26.448854555686246,0.5000000000000004,0,-13.440517087777536,0.0,0.00021008098020513583,1.1298701298701306,1.0188880474133235,0.12082589248336802,,6.666666666666668,35,,0,-50.38349579150478,280.0,,0.8421052631578947,1.0768536548589485
20190425_sample_6,1.3441486295732155,86.28448098897906,0.8441317535261582,0.9561689969771816,0.14575714573743656,-40.27083143591874,1.0000000000000009,0,-10.320898145437312,0.0,0.07874925433450661,1.138157894736842,1.5141353846944385,1.3593568696157774,,9.400000000000006,11,,0,-80.20847064546412,240.0,,0.1,1.9863027962388777
20190507_sample_2,4.09846627988256,84.86872538924217,0.7746473661512322,0.9672159703083629,0.3065028804582373,-31.742744147777557,0.8333333333333248,0,-4.783773794770241,0.0,0.0010790111450711625,1.1437499999999998,1.041569951115655,0.23230485936258458,,4.5999999999999925,25,,0,-61.761825758756856,260.0,,0.6666666666666666,1.7466756217917152
20190507_sample_4,1.0957922623961247,77.31737631062651,0.6807712165079601,0.9935302141374948,0.1306188296569596,-28.72068869570888,1.0333333333333306,0,-2.6345861454805046,0.0,0.02751962410060522,1.5222672064777345,2.770001311678572,0.636852272492241,,19.53333333333333,8,,0,-65.10125003755093,80.0,,1.0,2.605787377926373
20190507_sample_5,0.4313474577503465,88.84490281343466,0.7905047965008238,0.980453826872098,0.07928718087330826,-37.036723146835975,0.8666666666666684,0,-7.83420478304226,0.0,0.007925674189814814,1.4634146341463425,1.1631600160952023,0.5079342543082727,,9.633333333333328,16,,0,-54.66627114535206,40.0,,0.45454545454545453,2.034971016307194
20190516_sample_2,1.3081760401981426,41.71406431123609,,,0.1934622262421027,-2.2357623092830265,1.5999999999999903,0,-6.207247109462809,0.0,,,,,,14.033333333333328,2,,0,-57.91467570430703,380.0,,,1.970837969395195
20190516_sample_3,0.2564296112264495,63.90203721821306,0.7245960280285638,0.9927581621271605,0.06978080780807462,-31.472017988562563,1.1333333333333333,0,-1.9896446416775575,0.0,0.0014840653534420871,1.4480286738351238,1.0883881391488903,0.23558074802630213,,10.099999999999998,19,,0,-59.8629307506813,140.0,,0.7272727272727273,1.5502515268857924
20190516_sample_6,4.449818572103419,103.68383675813668,0.6201479781598569,0.9459421047104923,0.2918027198622228,-51.231831312179565,1.3999999999999986,0,10.731793940067291,0.0,0.04777253368368467,0.9125964010282777,1.7553798239086498,1.2006747201171302,,-0.20000000000000573,15,,0,-51.66047428382768,160.0,,0.2727272727272727,2.216812642616443
20181127_sample_3,9.447577769261894,113.3179801205794,0.3793516984600995,0.9500642136275878,0.4806244925835566,-72.22165788213411,1.4666666666666717,0,19.60911477605501,0.0,0.010744566425792091,0.6034482758620695,1.1569897214937717,0.5599619504633286,,-0.03333333333332966,15,,0,-72.60043362693655,260.0,,0.5555555555555556,2.1722350935415515
20181127_sample_5,0.2669320139628897,84.28336121141933,0.8417792384270059,0.9872216463222955,0.0634056863243145,-40.74879301091036,0.8666666666666684,0,-8.092559253176042,0.0,0.0013080189541540374,1.1660899653979226,1.0605605888213965,0.2379755643098137,,9.633333333333328,21,,0,-65.8617950234976,220.0,,0.75,2.064470895072603
20181127_sample_7,22.389146591841246,113.5584091146787,0.4090652952985651,0.6138875103408349,0.6403132717757599,-70.93316316604614,1.3999999999999986,0,30.693553388118737,0.0,1.137724550898185e-05,0.9382352941176477,1.0067352019177578,0.03196730015578211,,-0.20000000000000573,4,,0,-71.24384790990088,720.0,,,2.224994402050578
20180411_sample_4,0.1585536550199911,71.85867490867767,0.871566317580876,0.992340580242621,0.05208137256778981,-40.85210710763922,0.5999999999999894,0,-12.387342751026246,0.0,0.0001769072672605004,1.1726384364820848,1.0161822597031094,0.10981515162552434,,8.800000000000002,34,,0,-79.85087937613328,320.0,,0.8888888888888888,1.2109151222177883
20180411_sample_5,0.005263043916025961,66.16007722914193,0.9671235913445811,0.9989543409124644,0.009085991768133883,-26.991290971636722,0.5000000000000004,0,-14.504680410027554,0.0,6.090215317525237e-05,1.1294498381877014,1.010169624677206,0.06694595632060281,,10.099999999999998,37,,0,-50.86673904810514,160.0,,0.9473684210526315,1.0816430790545961
