,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Max number of APs,Membrane time constant (ms),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag ratio,Spike frequency adaptation,Upstroke-to-downstroke ratio
645169930,0.06596463523598843,48.437501907348505,1.0303225400736122,0.998110695455976,0.03708901523226836,-29.78125127156567,0.7333333333333358,0.0,-14.874998728434331,0.0,0.0004937729748584619,0.9999999999999992,1.0232332274759686,0.11961941275560987,,43.03333333333334,13,,0,-68.90043383026124,340.0,,0.8571428571428571,3.18461051184593
645322005,0.06189216255709208,73.28125190734863,,,0.02948708489072324,-42.34375,0.26666666666667893,0.0,-14.58333714803058,0.0,,,,,,4.400000000000001,2,,0,-61.798634946611195,340.0,,,1.3632873308637525
645355846,0.04572183641378235,57.81250031789086,0.9418018736044383,0.997607243513166,0.02953320614096448,-43.40624999999981,0.3999999999999976,0.0,-16.98958587646503,0.0,4.03534761937576e-05,1.0915750915750921,1.004930464535819,0.06194431029443574,,7.400000000000004,47,,0,-73.99500685628256,320.0,,0.88,1.772705442735341
646805498,0.1869512756816125,73.00000508626296,0.8959759823889896,0.9967469521377155,0.05494750617337009,-40.750001271565694,0.3000000000000086,0.0,-17.552083333333393,0.0,0.0002606774409819748,1.2337164750957852,1.0247823863531973,0.15632290292842285,,5.266666666666669,47,,0,-63.409319541931154,280.0,,0.8076923076923077,1.3810996084342493
646852171,0.05853172058218881,48.71875476837144,0.9670729132077892,0.997485791326502,0.03628302360635326,-34.13542048136379,0.3000000000000086,0.0,-21.718747456868634,0.0,0.00010009499924000619,1.056224899598394,1.0073433073236204,0.09929188372731305,,8.033333333333337,49,,0,-72.25780609554714,320.0,,0.8846153846153846,1.5414191123549326
648139266,0.31516282199303586,55.302084287007574,0.8941421052811589,0.9837669261684705,0.08302245456103567,-40.73958333333326,0.7999999999999952,0.0,-7.697920481364008,0.0,0.0032553344147448096,0.7624784853700506,1.0988684566259863,0.4082660940463138,,11.333333333333334,12,,0,-71.32176362270778,140.0,,0.0,3.1251049137254854
648582997,0.4003700245469589,65.12500254313147,1.0099168067032311,0.9877432910878808,0.08112042481072224,-41.593751271565715,0.5999999999999894,0.0,-8.583334604899143,0.0,0.007478644502190418,1.0835164835164834,1.293514940789152,0.4848965732987955,,12.333333333333336,15,,0,-75.85675736406115,270.0,,0.6666666666666666,2.726908244551357
649387261,0.08426218820705243,59.91666793823266,0.9638387398574872,0.9688441285866519,0.03851803211805494,-39.72916666666652,0.43333333333331336,0.0,-11.687502543131643,0.0,0.004938981584476579,1.119891008174385,1.8008214164959524,0.49721602176937835,,109.06666666666668,4,,0,-70.04135054185656,50.0,,,1.8861419235879464
652299236,0.033926601893588315,50.10416762034088,0.9446985965080292,0.9984636934701993,0.02683180099692018,-39.15625,0.3666666666666679,0.0,-15.51042048136393,0.0,0.0001563564093514173,1.0166112956810613,1.0093187527646577,0.11961949180288839,,9.099999999999998,45,,0,-73.9000794728597,310.0,,0.8,1.6866631615534295
652300499,0.007087486943108928,64.47917111714683,1.0231017458843845,0.9990792859444082,0.010422022731319848,-30.416668574015286,0.8666666666666545,0.0,-12.489583969116179,0.0,0.00011222983900610211,1.1420454545454553,1.010162030784096,0.04449819980835473,,41.23333333333334,9,,0,-62.968502538469096,230.0,,1.25,4.327223204257956
