cell id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20180926_sample_3,0.9375,1.09375,1.40625,1.40625,1.40625,0.625,0.625,0.9375,0.625,1.71875,0.625,0.625,0.78125,0.9375,1.40625,0.78125,0.9375,1.5625,1.40625,0.15625
20180926_sample_7,0.47619048,0.95238095,0.95238095,0.95238095,1.42857143,1.9047619,0.95238095,0.47619048,0.0,1.9047619,0.95238095,0.0,1.9047619,0.47619048,0.95238095,1.42857143,0.47619048,0.95238095,2.38095238,0.47619048
20181002_sample_10,0.87912088,0.65934066,1.53846154,0.65934066,1.0989011,0.65934066,1.0989011,1.0989011,1.31868132,1.0989011,1.0989011,0.65934066,0.65934066,0.43956044,1.53846154,1.97802198,0.21978022,1.53846154,0.43956044,1.31868132
20181003_sample_8,4.28571429,0.0,1.42857143,1.42857143,0.0,1.42857143,1.42857143,1.42857143,2.85714286,0.0,1.42857143,0.0,0.0,0.0,1.42857143,2.85714286,0.0,0.0,0.0,0.0
20181004_sample_5,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
20181004_sample_8,0.86956522,0.43478261,1.30434783,0.86956522,1.30434783,0.86956522,1.73913043,1.30434783,1.30434783,1.30434783,0.86956522,0.43478261,1.30434783,0.86956522,1.30434783,0.43478261,0.86956522,0.0,0.86956522,1.73913043
20181009_sample_3,0.51282051,1.02564103,1.02564103,0.51282051,0.51282051,0.0,2.05128205,0.51282051,0.51282051,1.02564103,0.51282051,1.02564103,1.53846154,0.0,2.56410256,4.1025641,0.51282051,1.53846154,0.51282051,0.0
20181009_sample_5,0.8,0.8,0.0,0.0,1.6,1.6,2.4,1.6,0.8,2.4,0.8,0.0,0.8,0.8,1.6,0.0,0.0,3.2,0.0,0.8
20181009_sample_7,1.14285714,0.0,3.42857143,1.71428571,1.14285714,2.28571429,0.0,0.0,0.57142857,1.14285714,1.71428571,0.57142857,0.57142857,1.14285714,0.57142857,0.0,0.0,2.28571429,1.14285714,0.57142857
20181011_sample_3,0.96774194,2.25806452,0.64516129,0.64516129,1.29032258,0.64516129,0.96774194,0.64516129,1.29032258,1.61290323,1.29032258,0.96774194,0.64516129,1.29032258,0.96774194,0.0,0.64516129,0.64516129,1.29032258,1.29032258
20181109_sample_5,1.66666667,0.83333333,0.0,0.0,3.33333333,0.0,0.83333333,2.5,0.83333333,1.66666667,0.0,0.0,2.5,0.83333333,0.0,0.0,0.83333333,1.66666667,1.66666667,0.83333333
20181109_sample_7,0.74074074,0.74074074,0.74074074,0.0,1.48148148,2.96296296,2.22222222,0.74074074,0.74074074,1.48148148,0.74074074,0.0,0.0,0.0,0.74074074,1.48148148,0.0,2.22222222,0.74074074,2.22222222
20181112_sample_6,1.53846154,0.0,3.07692308,0.0,0.0,1.53846154,3.07692308,1.53846154,0.0,0.0,1.53846154,0.0,0.0,1.53846154,3.07692308,0.0,0.0,1.53846154,1.53846154,0.0
20181112_sample_8,0.71428571,0.71428571,1.42857143,0.71428571,1.42857143,0.0,0.71428571,0.0,0.71428571,0.71428571,2.14285714,1.42857143,0.71428571,0.71428571,1.42857143,2.85714286,0.71428571,0.71428571,2.14285714,0.0
20181116_sample_5,1.17647059,0.7486631,0.7486631,1.28342246,1.17647059,0.64171123,1.06951872,0.96256684,0.85561497,1.60427807,0.7486631,0.7486631,0.96256684,0.7486631,0.85561497,1.28342246,0.96256684,1.4973262,1.28342246,0.64171123
20181121_sample_6,0.0,1.36363636,0.90909091,1.36363636,0.90909091,0.45454545,1.81818182,0.45454545,1.81818182,0.45454545,0.90909091,1.36363636,0.90909091,0.45454545,0.45454545,0.45454545,1.36363636,0.90909091,2.72727273,0.90909091
20181127_sample_3,2.22222222,0.0,2.22222222,0.0,0.0,2.22222222,0.0,0.0,6.66666667,0.0,0.0,4.44444444,0.0,2.22222222,0.0,0.0,0.0,0.0,0.0,0.0
20181127_sample_5,0.90909091,0.90909091,0.90909091,0.0,2.72727273,0.0,0.90909091,3.63636364,2.72727273,0.90909091,0.90909091,1.81818182,0.0,0.0,0.90909091,0.90909091,0.90909091,0.0,0.90909091,0.0
20181127_sample_7,1.76470588,0.58823529,1.17647059,1.17647059,1.47058824,0.88235294,0.88235294,0.29411765,1.17647059,0.88235294,1.17647059,0.58823529,0.58823529,0.58823529,0.29411765,1.17647059,0.29411765,1.47058824,0.29411765,3.23529412
20190108_sample_1,1.02564103,0.85470085,1.1965812,1.02564103,1.02564103,1.02564103,0.51282051,1.53846154,0.51282051,1.02564103,0.68376068,1.1965812,1.1965812,1.1965812,1.70940171,1.1965812,0.85470085,1.1965812,0.85470085,0.17094017
20190108_sample_5,0.0,0.0,7.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5
20190110_sample_4,0.7079646,1.0619469,0.53097345,1.0619469,0.53097345,0.7079646,0.88495575,1.0619469,1.0619469,1.4159292,0.53097345,1.4159292,1.0619469,0.53097345,1.23893805,1.23893805,0.7079646,1.4159292,1.7699115,1.0619469
20190117_sample_1,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
20190122_sample_1,0.31746032,0.79365079,1.26984127,0.95238095,0.79365079,2.53968254,0.79365079,0.47619048,1.58730159,1.26984127,1.58730159,0.79365079,0.79365079,1.42857143,0.47619048,0.15873016,1.42857143,1.58730159,0.31746032,0.63492063
20190122_sample_3,2.16216216,0.54054054,0.54054054,0.0,0.54054054,2.16216216,0.54054054,0.54054054,0.0,0.54054054,2.7027027,0.54054054,0.0,1.08108108,2.16216216,1.08108108,2.7027027,1.08108108,1.08108108,0.0
20190122_sample_5,0.4,0.4,1.2,1.4,0.4,1.4,1.0,0.6,0.2,0.8,1.8,0.8,0.6,0.6,1.4,3.2,0.6,0.4,1.0,1.8
20190122_sample_9,0.63492063,0.63492063,0.95238095,0.95238095,0.95238095,0.95238095,1.58730159,1.26984127,1.58730159,1.58730159,0.95238095,0.31746032,0.63492063,0.63492063,1.26984127,0.31746032,0.31746032,0.95238095,1.9047619,1.58730159
20190122_sample_14,0.2739726,1.09589041,0.54794521,1.09589041,0.82191781,1.36986301,0.82191781,1.64383562,1.36986301,1.09589041,1.09589041,1.09589041,0.82191781,1.36986301,0.2739726,0.54794521,1.09589041,1.09589041,1.09589041,1.36986301
20190128_sample_2,1.44927536,2.02898551,0.86956522,0.28985507,0.57971014,0.57971014,0.57971014,1.15942029,1.15942029,0.57971014,0.57971014,1.15942029,2.02898551,0.57971014,0.86956522,0.57971014,1.15942029,1.44927536,1.15942029,1.15942029
20190128_sample_4,2.0,0.8,0.4,2.4,1.2,0.4,2.0,0.4,0.8,1.2,0.4,0.4,2.4,0.4,1.6,0.8,0.8,0.0,1.6,0.0
20190128_sample_6,0.96385542,0.96385542,0.72289157,0.72289157,0.24096386,1.20481928,0.72289157,0.0,0.96385542,3.13253012,1.20481928,1.92771084,0.72289157,0.72289157,0.72289157,1.44578313,0.72289157,0.96385542,1.44578313,0.48192771
20190128_sample_7,1.76470588,0.58823529,1.17647059,0.88235294,0.73529412,0.44117647,1.17647059,1.47058824,0.73529412,0.88235294,1.17647059,1.91176471,1.17647059,0.88235294,1.02941176,0.88235294,0.44117647,1.47058824,0.58823529,0.58823529
20190128_sample_12,1.0,0.75,0.75,0.75,1.0,0.75,0.5,0.75,0.75,2.0,0.75,0.5,1.25,1.25,0.75,1.0,1.75,1.25,1.0,1.5
20190130_sample_3,1.53256705,0.91954023,1.07279693,1.22605364,1.07279693,0.99616858,0.68965517,0.84291188,0.84291188,0.84291188,1.22605364,0.91954023,0.84291188,0.99616858,1.4559387,1.37931034,0.76628352,0.84291188,0.84291188,0.68965517
20190130_sample_6,0.52631579,0.78947368,0.78947368,1.05263158,1.31578947,0.78947368,1.31578947,0.78947368,1.05263158,0.78947368,0.78947368,0.78947368,0.26315789,1.05263158,0.78947368,0.78947368,0.52631579,2.10526316,2.63157895,1.05263158
20190130_sample_9,0.0,2.10526316,2.10526316,0.0,2.10526316,1.05263158,0.0,0.0,0.0,3.15789474,1.05263158,0.0,2.10526316,0.0,1.05263158,1.05263158,1.05263158,1.05263158,1.05263158,1.05263158
20190130_sample_10,1.88679245,1.50943396,0.37735849,0.75471698,2.26415094,1.50943396,0.75471698,1.13207547,1.13207547,1.50943396,0.37735849,0.37735849,1.88679245,0.37735849,1.13207547,1.13207547,0.37735849,0.37735849,0.0,1.13207547
20190130_sample_17,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20190130_sample_18,2.22222222,0.0,0.0,0.0,4.44444444,0.0,0.0,0.0,0.0,2.22222222,2.22222222,4.44444444,0.0,0.0,0.0,0.0,0.0,2.22222222,0.0,2.22222222
20190131_sample_1,0.0,1.11111111,3.33333333,2.22222222,0.0,2.22222222,0.0,0.0,1.11111111,1.11111111,1.11111111,0.0,1.11111111,0.0,0.0,2.22222222,1.11111111,1.11111111,0.0,2.22222222
20190131_sample_3,0.0,1.81818182,0.0,0.0,1.81818182,0.0,3.63636364,1.81818182,1.81818182,0.0,0.0,1.81818182,0.0,1.81818182,1.81818182,0.0,1.81818182,0.0,1.81818182,0.0
20190131_sample_5,1.28440367,0.18348624,0.91743119,1.28440367,0.55045872,0.91743119,1.65137615,0.55045872,1.46788991,0.73394495,1.65137615,1.28440367,0.18348624,0.73394495,1.65137615,0.91743119,0.91743119,1.46788991,0.91743119,0.73394495
20190131_sample_6,1.36986301,0.54794521,0.2739726,0.82191781,0.54794521,0.54794521,0.54794521,1.64383562,1.64383562,0.54794521,1.09589041,1.64383562,0.2739726,1.09589041,1.09589041,0.82191781,1.36986301,0.82191781,1.36986301,1.91780822
20190201_sample_2,1.2195122,1.2195122,1.2195122,0.97560976,1.2195122,0.73170732,1.95121951,1.34146341,1.2195122,0.73170732,0.6097561,0.85365854,0.97560976,0.36585366,0.73170732,0.97560976,0.73170732,1.34146341,0.73170732,0.85365854
20190201_sample_3,0.70588235,0.94117647,2.11764706,1.17647059,0.70588235,0.94117647,0.47058824,0.47058824,1.64705882,0.94117647,0.70588235,0.23529412,0.70588235,1.41176471,0.94117647,0.47058824,1.17647059,1.88235294,1.41176471,0.94117647
20190201_sample_4,1.11111111,0.37037037,1.48148148,0.74074074,0.0,1.11111111,0.74074074,0.37037037,0.74074074,1.48148148,1.48148148,0.74074074,1.48148148,0.37037037,0.74074074,1.85185185,1.48148148,1.11111111,1.48148148,1.11111111
20190204_sample_1,0.0,0.74074074,0.0,0.0,0.74074074,0.0,1.48148148,0.74074074,0.0,1.48148148,1.48148148,2.96296296,0.74074074,1.48148148,1.48148148,1.48148148,2.22222222,0.74074074,0.74074074,1.48148148
20190204_sample_5,0.63492063,0.31746032,0.0,0.31746032,0.63492063,0.63492063,6.98412698,3.80952381,0.95238095,0.95238095,1.58730159,0.63492063,0.31746032,0.31746032,0.31746032,0.31746032,0.31746032,0.0,0.63492063,0.31746032
20190204_sample_7,2.02898551,1.44927536,0.28985507,0.86956522,0.57971014,1.73913043,0.57971014,1.15942029,1.44927536,1.15942029,1.15942029,0.57971014,0.86956522,1.44927536,0.28985507,0.28985507,2.02898551,1.44927536,0.28985507,0.28985507
20190204_sample_9,3.44827586,1.37931034,0.0,1.37931034,0.68965517,0.0,0.68965517,0.68965517,0.0,1.37931034,0.0,2.06896552,0.0,0.0,0.0,1.37931034,2.75862069,2.06896552,0.68965517,1.37931034
20190204_sample_15,1.25,1.875,1.25,0.625,2.5,0.0,1.25,1.25,0.0,1.25,0.0,0.625,0.625,1.25,1.25,1.25,0.625,1.25,1.25,0.625
20190204_sample_21,0.68965517,0.86206897,1.37931034,1.37931034,0.86206897,0.86206897,0.51724138,1.03448276,1.20689655,0.86206897,0.86206897,0.68965517,0.34482759,0.51724138,0.0,0.34482759,1.20689655,2.5862069,2.4137931,1.37931034
20190205_sample_2,2.22222222,2.22222222,0.0,0.0,0.0,4.44444444,2.22222222,0.0,0.0,0.0,0.0,4.44444444,2.22222222,0.0,0.0,2.22222222,0.0,0.0,0.0,0.0
